West US 2 A DC1 -> [([[West US 2 A_gateway1, GigabitEthernet0/0/1], [West US 2 A_gateway2, GigabitEthernet0/0/1]], [10.0.0.0/16])]
West Central US D DC5 -> [([[West Central US D_gateway1, GigabitEthernet0/0/5], [West Central US D_gateway2, GigabitEthernet0/0/5]], [10.109.0.0/16])]
West Central US E DC1 -> [([[West Central US E_gateway1, GigabitEthernet0/0/1], [West Central US E_gateway2, GigabitEthernet0/0/1]], [10.110.0.0/16])]
West Central US E DC2 -> [([[West Central US E_gateway1, GigabitEthernet0/0/2], [West Central US E_gateway2, GigabitEthernet0/0/2]], [10.111.0.0/16])]
West Central US E DC3 -> [([[West Central US E_gateway1, GigabitEthernet0/0/3], [West Central US E_gateway2, GigabitEthernet0/0/3]], [10.112.0.0/16])]
West Central US E DC4 -> [([[West Central US E_gateway1, GigabitEthernet0/0/4], [West Central US E_gateway2, GigabitEthernet0/0/4]], [10.113.0.0/16])]
West Central US E DC5 -> [([[West Central US E_gateway1, GigabitEthernet0/0/5], [West Central US E_gateway2, GigabitEthernet0/0/5]], [10.114.0.0/16])]
West Central US F DC1 -> [([[West Central US F_gateway1, GigabitEthernet0/0/1], [West Central US F_gateway2, GigabitEthernet0/0/1]], [10.115.0.0/16])]
West Central US F DC2 -> [([[West Central US F_gateway1, GigabitEthernet0/0/2], [West Central US F_gateway2, GigabitEthernet0/0/2]], [10.116.0.0/16])]
West Central US F DC3 -> [([[West Central US F_gateway1, GigabitEthernet0/0/3], [West Central US F_gateway2, GigabitEthernet0/0/3]], [10.117.0.0/16])]
West Central US F DC4 -> [([[West Central US F_gateway1, GigabitEthernet0/0/4], [West Central US F_gateway2, GigabitEthernet0/0/4]], [10.118.0.0/16])]
West Central US F DC5 -> [([[West Central US F_gateway1, GigabitEthernet0/0/5], [West Central US F_gateway2, GigabitEthernet0/0/5]], [10.119.0.0/16])]
Mexico Central A DC1 -> [([[Mexico Central A_gateway1, GigabitEthernet0/0/1], [Mexico Central A_gateway2, GigabitEthernet0/0/1]], [10.120.0.0/16])]
Mexico Central A DC2 -> [([[Mexico Central A_gateway1, GigabitEthernet0/0/2], [Mexico Central A_gateway2, GigabitEthernet0/0/2]], [10.121.0.0/16])]
Mexico Central A DC3 -> [([[Mexico Central A_gateway1, GigabitEthernet0/0/3], [Mexico Central A_gateway2, GigabitEthernet0/0/3]], [10.122.0.0/16])]
Mexico Central A DC4 -> [([[Mexico Central A_gateway1, GigabitEthernet0/0/4], [Mexico Central A_gateway2, GigabitEthernet0/0/4]], [10.123.0.0/16])]
Mexico Central A DC5 -> [([[Mexico Central A_gateway1, GigabitEthernet0/0/5], [Mexico Central A_gateway2, GigabitEthernet0/0/5]], [10.124.0.0/16])]
Mexico Central B DC1 -> [([[Mexico Central B_gateway1, GigabitEthernet0/0/1], [Mexico Central B_gateway2, GigabitEthernet0/0/1]], [10.125.0.0/16])]
Mexico Central B DC2 -> [([[Mexico Central B_gateway1, GigabitEthernet0/0/2], [Mexico Central B_gateway2, GigabitEthernet0/0/2]], [10.126.0.0/16])]
Mexico Central B DC3 -> [([[Mexico Central B_gateway1, GigabitEthernet0/0/3], [Mexico Central B_gateway2, GigabitEthernet0/0/3]], [10.127.0.0/16])]
Mexico Central B DC4 -> [([[Mexico Central B_gateway1, GigabitEthernet0/0/4], [Mexico Central B_gateway2, GigabitEthernet0/0/4]], [10.128.0.0/16])]
Mexico Central B DC5 -> [([[Mexico Central B_gateway1, GigabitEthernet0/0/5], [Mexico Central B_gateway2, GigabitEthernet0/0/5]], [10.129.0.0/16])]
Mexico Central C DC1 -> [([[Mexico Central C_gateway1, GigabitEthernet0/0/1], [Mexico Central C_gateway2, GigabitEthernet0/0/1]], [10.130.0.0/16])]
Mexico Central C DC2 -> [([[Mexico Central C_gateway1, GigabitEthernet0/0/2], [Mexico Central C_gateway2, GigabitEthernet0/0/2]], [10.131.0.0/16])]
Mexico Central C DC3 -> [([[Mexico Central C_gateway1, GigabitEthernet0/0/3], [Mexico Central C_gateway2, GigabitEthernet0/0/3]], [10.132.0.0/16])]
Mexico Central C DC4 -> [([[Mexico Central C_gateway1, GigabitEthernet0/0/4], [Mexico Central C_gateway2, GigabitEthernet0/0/4]], [10.133.0.0/16])]
Mexico Central C DC5 -> [([[Mexico Central C_gateway1, GigabitEthernet0/0/5], [Mexico Central C_gateway2, GigabitEthernet0/0/5]], [10.134.0.0/16])]
Mexico Central D DC1 -> [([[Mexico Central D_gateway1, GigabitEthernet0/0/1], [Mexico Central D_gateway2, GigabitEthernet0/0/1]], [10.135.0.0/16])]
Mexico Central D DC2 -> [([[Mexico Central D_gateway1, GigabitEthernet0/0/2], [Mexico Central D_gateway2, GigabitEthernet0/0/2]], [10.136.0.0/16])]
Mexico Central D DC3 -> [([[Mexico Central D_gateway1, GigabitEthernet0/0/3], [Mexico Central D_gateway2, GigabitEthernet0/0/3]], [10.137.0.0/16])]
Mexico Central D DC4 -> [([[Mexico Central D_gateway1, GigabitEthernet0/0/4], [Mexico Central D_gateway2, GigabitEthernet0/0/4]], [10.138.0.0/16])]
Mexico Central D DC5 -> [([[Mexico Central D_gateway1, GigabitEthernet0/0/5], [Mexico Central D_gateway2, GigabitEthernet0/0/5]], [10.139.0.0/16])]
Mexico Central E DC1 -> [([[Mexico Central E_gateway1, GigabitEthernet0/0/1], [Mexico Central E_gateway2, GigabitEthernet0/0/1]], [10.140.0.0/16])]
Mexico Central E DC2 -> [([[Mexico Central E_gateway1, GigabitEthernet0/0/2], [Mexico Central E_gateway2, GigabitEthernet0/0/2]], [10.141.0.0/16])]
Mexico Central E DC3 -> [([[Mexico Central E_gateway1, GigabitEthernet0/0/3], [Mexico Central E_gateway2, GigabitEthernet0/0/3]], [10.142.0.0/16])]
Mexico Central E DC4 -> [([[Mexico Central E_gateway1, GigabitEthernet0/0/4], [Mexico Central E_gateway2, GigabitEthernet0/0/4]], [10.143.0.0/16])]
Mexico Central E DC5 -> [([[Mexico Central E_gateway1, GigabitEthernet0/0/5], [Mexico Central E_gateway2, GigabitEthernet0/0/5]], [10.144.0.0/16])]
Mexico Central F DC1 -> [([[Mexico Central F_gateway1, GigabitEthernet0/0/1], [Mexico Central F_gateway2, GigabitEthernet0/0/1]], [10.145.0.0/16])]
Mexico Central F DC2 -> [([[Mexico Central F_gateway1, GigabitEthernet0/0/2], [Mexico Central F_gateway2, GigabitEthernet0/0/2]], [10.146.0.0/16])]
Mexico Central F DC3 -> [([[Mexico Central F_gateway1, GigabitEthernet0/0/3], [Mexico Central F_gateway2, GigabitEthernet0/0/3]], [10.147.0.0/16])]
Mexico Central F DC4 -> [([[Mexico Central F_gateway1, GigabitEthernet0/0/4], [Mexico Central F_gateway2, GigabitEthernet0/0/4]], [10.148.0.0/16])]
Mexico Central F DC5 -> [([[Mexico Central F_gateway1, GigabitEthernet0/0/5], [Mexico Central F_gateway2, GigabitEthernet0/0/5]], [10.149.0.0/16])]
South Central US A DC1 -> [([[South Central US A_gateway1, GigabitEthernet0/0/1], [South Central US A_gateway2, GigabitEthernet0/0/1]], [10.150.0.0/16])]
South Central US A DC2 -> [([[South Central US A_gateway1, GigabitEthernet0/0/2], [South Central US A_gateway2, GigabitEthernet0/0/2]], [10.151.0.0/16])]
South Central US A DC3 -> [([[South Central US A_gateway1, GigabitEthernet0/0/3], [South Central US A_gateway2, GigabitEthernet0/0/3]], [10.152.0.0/16])]
South Central US A DC4 -> [([[South Central US A_gateway1, GigabitEthernet0/0/4], [South Central US A_gateway2, GigabitEthernet0/0/4]], [10.153.0.0/16])]
South Central US A DC5 -> [([[South Central US A_gateway1, GigabitEthernet0/0/5], [South Central US A_gateway2, GigabitEthernet0/0/5]], [10.154.0.0/16])]
South Central US B DC1 -> [([[South Central US B_gateway1, GigabitEthernet0/0/1], [South Central US B_gateway2, GigabitEthernet0/0/1]], [10.155.0.0/16])]
South Central US B DC2 -> [([[South Central US B_gateway1, GigabitEthernet0/0/2], [South Central US B_gateway2, GigabitEthernet0/0/2]], [10.156.0.0/16])]
South Central US B DC3 -> [([[South Central US B_gateway1, GigabitEthernet0/0/3], [South Central US B_gateway2, GigabitEthernet0/0/3]], [10.157.0.0/16])]
South Central US B DC4 -> [([[South Central US B_gateway1, GigabitEthernet0/0/4], [South Central US B_gateway2, GigabitEthernet0/0/4]], [10.158.0.0/16])]
South Central US B DC5 -> [([[South Central US B_gateway1, GigabitEthernet0/0/5], [South Central US B_gateway2, GigabitEthernet0/0/5]], [10.159.0.0/16])]
South Central US C DC1 -> [([[South Central US C_gateway1, GigabitEthernet0/0/1], [South Central US C_gateway2, GigabitEthernet0/0/1]], [10.160.0.0/16])]
South Central US C DC2 -> [([[South Central US C_gateway1, GigabitEthernet0/0/2], [South Central US C_gateway2, GigabitEthernet0/0/2]], [10.161.0.0/16])]
South Central US C DC3 -> [([[South Central US C_gateway1, GigabitEthernet0/0/3], [South Central US C_gateway2, GigabitEthernet0/0/3]], [10.162.0.0/16])]
South Central US C DC4 -> [([[South Central US C_gateway1, GigabitEthernet0/0/4], [South Central US C_gateway2, GigabitEthernet0/0/4]], [10.163.0.0/16])]
South Central US C DC5 -> [([[South Central US C_gateway1, GigabitEthernet0/0/5], [South Central US C_gateway2, GigabitEthernet0/0/5]], [10.164.0.0/16])]
South Central US D DC1 -> [([[South Central US D_gateway1, GigabitEthernet0/0/1], [South Central US D_gateway2, GigabitEthernet0/0/1]], [10.165.0.0/16])]
South Central US D DC2 -> [([[South Central US D_gateway1, GigabitEthernet0/0/2], [South Central US D_gateway2, GigabitEthernet0/0/2]], [10.166.0.0/16])]
South Central US D DC3 -> [([[South Central US D_gateway1, GigabitEthernet0/0/3], [South Central US D_gateway2, GigabitEthernet0/0/3]], [10.167.0.0/16])]
South Central US D DC4 -> [([[South Central US D_gateway1, GigabitEthernet0/0/4], [South Central US D_gateway2, GigabitEthernet0/0/4]], [10.168.0.0/16])]
South Central US D DC5 -> [([[South Central US D_gateway1, GigabitEthernet0/0/5], [South Central US D_gateway2, GigabitEthernet0/0/5]], [10.169.0.0/16])]
South Central US E DC1 -> [([[South Central US E_gateway1, GigabitEthernet0/0/1], [South Central US E_gateway2, GigabitEthernet0/0/1]], [10.170.0.0/16])]
South Central US E DC2 -> [([[South Central US E_gateway1, GigabitEthernet0/0/2], [South Central US E_gateway2, GigabitEthernet0/0/2]], [10.171.0.0/16])]
South Central US E DC3 -> [([[South Central US E_gateway1, GigabitEthernet0/0/3], [South Central US E_gateway2, GigabitEthernet0/0/3]], [10.172.0.0/16])]
